,name,surname,scopus_id,pubs
20,Wojciech,Macyna,54889001900,"[['57203750734', '54889001900'], ['14630697800', '25651989600', '54889001900'], ['55614318900', '54889001900'], ['55914696700', '25651989600', '54889001900', '55892139700'], ['55055652500', '54889001900'], ['14629926700', '54889001900']]"
21,Krzysztof,Majcher,25651989600,"[['25651989600'], ['25651989600'], ['24766310900', '55601798100', '36662582300', '25651989600'], ['14630697800', '25651989600', '54889001900'], ['55927434200', '6603086487', '6507098897', '25651989600', '7005033898'], ['6603086487', '6507098897', '7005033898', '25651989600', '55927434200'], ['25651989600'], ['25651989600', '6603086487'], ['25651989600', '6603086487', '6507098897', '55927434200', '7005033898'], ['55914696700', '25651989600', '54889001900', '55892139700'], ['35067793600', '55914696700', '25651989600', '55416077000'], ['24766310900', '25651989600', '55892139700', '24802815900'], ['35067793600', '14629926700', '7004104546', '25651989600'], ['35067793600', '35067952600', '55914696700', '25651989600'], ['24766310900', '25651989600', '55892139700']]"
22,Marcin,Michalski,56600102500,"[['56600102500', '15830756800']]"
23,Michał,Morayne,6603253976,"[['6603253976', '6603024585', '15830756800'], ['14629926700', '6603253976', '15829962800'], ['6603253976', '55503817700'], ['6602361496', '6602726827', '14035689500', '6603253976'], ['7003587604', '6603253976', '57194986230', '15830756800'], ['6507112457', '55392044800', '6603253976', '20734880100'], ['6701815463', '57202485651', '7004112473', '6603253976'], ['6701315535', '6603253976', '15829962800', '15830756800'], ['55175684500', '6603253976', '35073203500'], ['6701315535', '6603253976', '15829962800', '15830756800'], ['14035689500', '6603253976'], ['14035689500', '6603253976'], ['51863681600', '6603253976'], ['6603253976', '55503817700'], ['7003587604', '6603253976'], ['55751498100', '35799872900', '6603253976', '55351637300'], ['6701815463', '57202485651', '7004112473', '6603253976'], ['6507112457', '55392044800', '6603253976', '20734880100'], ['55233647300', '6602726827', '6603253976'], ['14629926700', '55392044800', '6603253976', '20734880100'], ['55392044800', '6603253976', '20734880100'], ['6603253976', '55866658400'], ['55392044800', '6603253976', '20734880100', '7102774984'], ['14035689500', '6603253976', '24921729000'], ['11241362700', '14035689500', '6603253976', '24921729000'], ['6603253976', '22954499900'], ['14629926700', '55392044800', '6603253976'], ['14629926700', '6603253976', '15829962800', '13610659900', '15830756800'], ['6602726827', '7004112473', '6603253976'], ['7202139005', '55392044800', '6603253976', '6603941525'], ['6602726827', '6603253976'], ['14035689500', '6603253976', '24921729000'], ['6602726827', '7004112473', '6603253976'], ['6602726827', '7004112473', '6603253976'], ['6602726827', '7004112473', '6603253976'], ['6602726827', '7004112473', '6603253976'], ['6602390438', '6603253976'], ['6603253976'], ['6603253976', '13610659900'], ['6603253976', '13610659900'], ['6603253976'], ['14629926700', '6603253976'], ['6603253976']]"
24,Wojciech,Mydlarczyk,6506202906,"[['6506202906'], ['6506202906'], ['36182137100', '6506202906'], ['6506202906', '7102556253'], ['26654971900', '6506202906', '55984791700'], ['6506202906'], ['6506202906'], ['6506202906', '6603469545'], ['6506202906', '6603469545', '57209824368'], ['6506202906', '25928003000'], ['6701406180', '6506202906'], ['6506202906', '6603469545'], ['6506202906'], ['6506202906'], ['6506202906', '6603469545'], ['6506202906', '6603469545'], ['6506202906'], ['6506202906']]"
25,Robert,Rałowski,15829962800,"[['14629926700', '6603253976', '15829962800'], ['6701315535', '15829962800', '15830756800'], ['6701315535', '6603253976', '15829962800', '15830756800'], ['15829962800'], ['6701315535', '6603253976', '15829962800', '15830756800'], ['15829962800', '15830756800'], ['55196128100', '35422448500', '15829962800', '15830756800'], ['15829962800', '15830756800'], ['15829962800', '15830756800'], ['55960849400', '15829962800', '36107354500', '15830756800'], ['15829962800'], ['15829962800', '36107354500', '15830756800'], ['15829962800'], ['15769407300', '15829962800'], ['15829962800', '15830756800'], ['14629926700', '6603253976', '15829962800', '13610659900', '15830756800'], ['15829962800', '15769407300'], ['15769407300', '15829962800', '7006366974'], ['6602097615', '15829962800'], ['15829962800'], ['6603331252', '15829962800'], ['6603331252', '15829962800']]"
26,Małgorzata,Sulkowska,35073203500,"[['55914696700', '23478736500', '35073203500'], ['57190132946', '55914696700', '35073203500'], ['25931974500', '35073203500'], ['55914696700', '35073203500'], ['35067793600', '7004104546', '36662582300', '35073203500'], ['14630697800', '35073203500', '23399026400'], ['55175684500', '6603253976', '35073203500'], ['35073203500'], ['55914696700', '35072942900', '23478736500', '35073203500'], ['35072942900', '35073203500']]"
27,Piotr,Syga,55416077000,"[['23570010400', '57207837986', '55416077000', '55663461900'], ['57189663066', '56604187500', '55416077000', '25641088300', '55663461900'], ['57190132946', '55914696700', '55416077000'], ['55416077000', '23393722800', '23570010400', '55663461900'], ['55601798100', '55914696700', '55416077000'], ['57189663066', '55416077000', '55663461900'], ['55914696700', '57210072931', '55416077000'], ['55416077000', '23393722800', '23570010400', '55663461900'], ['55914696700', '55416077000'], ['56495169400', '55914696700', '55416077000'], ['55914696700', '55416077000'], ['35067793600', '14630697800', '55416077000'], ['57190132946', '55914696700', '55416077000'], ['35067793600', '55914696700', '7004104546', '55416077000'], ['55914696700', '7004104546', '55416077000'], ['35067793600', '55914696700', '25651989600', '55416077000'], ['55601798100', '55914696700', '55416077000', '55601384800'], ['55914696700', '55416077000', '55416251200']]"
28,Wojciech,Wodo,55416251200,"[['55416251200', '55440635800'], ['55416251200', '55440635800'], ['55416251200', '55440635800', '55440412000'], ['55416251200', '57110449100'], ['55440635800', '55416251200'], ['14054168800', '7004104546', '55416251200'], ['35067793600', '7004104546', '55416251200', '55004766900'], ['55914696700', '55416077000', '55416251200']]"
29,Filip,Zagórski,55892139700,"[['57193871747', '15132409800', '55892139700'], ['15132409800', '55892139700', '57195287284'], ['15132409800', '57195287284', '55892139700'], ['15132409800', '57194782345', '55892139700'], ['57195287284', '15132409800', '55892139700'], ['57193201064', '57193202024', '7003263092', '57193196863', '55892139700'], ['24337458600', '6602602141', '7407826776', '24337710900', '54982615100', '23478284600', '7006881034', '35114024500', '8210005000', '7003263092', '55806732900', '55892139700'], ['55806817400', '55806732900', '24337458600', '55389402000', '55389462400', '36103030900', '7003263092', '55892139700'], ['55892139700', '24337458600', '6602602141', '7407826776', '24337710900', '7003263092'], ['55914696700', '25651989600', '54889001900', '55892139700'], ['6602602141', '55389402000', '8889302300', '23478284600', '55389462400', '7003263092', '55892139700'], ['24766310900', '25651989600', '55892139700', '24802815900'], ['7004104546', '55892139700'], ['24766310900', '7004104546', '55892139700', '8848855500'], ['24766310900', '25651989600', '55892139700'], ['24766310900', '7004104546', '7006153730', '55892139700'], ['7004104546', '55892139700'], ['14054168800', '22034864500', '55892139700'], ['24766310900', '7004104546', '55892139700'], ['23967665500', '56332678800', '14054168800', '7004104546', '55892139700'], ['8848855500', '55892139700'], ['8891497000', '55914696700', '14054168800', '7004104546', '8935319500', '55892139700'], ['55914696700', '7004104546', '8935319500', '55892139700'], ['55914696700', '7004104546', '8935319500', '55892139700']]"
30,Marcin,Zawada,24802815900,"[['14629926700', '24605392900', '24802815900'], ['35067793600', '24802815900', '16303045700', '36197865500'], ['55872881900', '24802815900'], ['14629926700', '36662582300', '24802815900'], ['14629926700', '36662582300', '24802815900'], ['14629926700', '36662582300', '35586536800', '24802815900'], ['14629926700', '36662582300', '24802815900'], ['24766310900', '25651989600', '55892139700', '24802815900'], ['14629926700', '36647523100', '36662582300', '24802815900'], ['14629926700', '7004104546', '24802815900'], ['24802815900'], ['14629926700', '7004104546', '24802815900'], ['14629926700', '35196082600', '36647523100', '24802815900'], ['55872881900', '24802815900'], ['14629926700', '7004104546', '24802815900'], ['14629926700', '7004104546', '24802815900']]"
31,Paweł,Zieliński,7007180231,"[['9433957200', '7007180231'], ['57190046438', '9433957200', '7007180231'], ['56401138700', '37079139000', '9433957200', '7007180231'], ['9433957200', '7007180231'], ['57190046438', '9433957200', '7007180231'], ['35145625100', '55999076100', '7007180231'], ['57190046438', '9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['6508027276', '7007180231', '56811537900'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '51863681600', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['35145625100', '55999076100', '7007180231'], ['9433957200', '51863681600', '7007180231'], ['35145625100', '7007180231'], ['9433957200', '51863681600', '7007180231'], ['35145625100', '24724680600', '7007180231'], ['9433957200', '25228710600', '7007180231'], ['9433957200', '51863681600', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['35145625100', '24724680600', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['57197972665', '7007180231', '55936783300', '6701575809'], ['9433957200', '7007180231'], ['55936783300', '57197972665', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['57197972665', '9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['14629926700', '55914696700', '14630697800', '23390098500', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['57197972665', '9433957200', '7007180231'], ['9433957200', '7007180231'], ['9433957200', '7007180231'], ['7007180231'], ['9433957200', '7007180231'], ['57197972665', '7007180231', '55936783300', '6701575809'], ['57197972665', '7007180231', '55936783300', '6701575809'], ['7007180231'], ['7007180231'], ['56629581800', '7007180231'], ['7003819139', '55936783300', '7007180231'], ['56629581800', '7007180231'], ['56629581800', '7007180231'], ['56629581800', '7007180231']]"
32,Szymon,Żeberski,15830756800,"[['6603253976', '6603024585', '15830756800'], ['7003587604', '6603253976', '57194986230', '15830756800'], ['6701315535', '15829962800', '15830756800'], ['6701315535', '6603253976', '15829962800', '15830756800'], ['56600102500', '15830756800'], ['6701315535', '6603253976', '15829962800', '15830756800'], ['15829962800', '15830756800'], ['55196128100', '35422448500', '15829962800', '15830756800'], ['15830756800'], ['15829962800', '15830756800'], ['15829962800', '15830756800'], ['55960849400', '15829962800', '36107354500', '15830756800'], ['15829962800', '36107354500', '15830756800'], ['15829962800', '15830756800'], ['14629926700', '6603253976', '15829962800', '13610659900', '15830756800'], ['15830756800']]"
